the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,POS,19153,1468,2021-12-10 16:00:01
,,NEG,19124,98488,2021-12-10 16:00:01
,,NEG,19161,44,2021-12-10 16:00:01
,,NEG,19107,32603,2021-12-10 16:00:01
,,POS,19133,3685,2021-12-10 16:00:01
,,NEG,19102,19542,2021-12-10 16:00:01
,,POS,19145,6633,2021-12-10 16:00:01
,,NEG,19151,56522,2021-12-10 16:00:01
,,NEG,19149,68461,2021-12-10 16:00:01
,,NEG,19129,25812,2021-12-10 16:00:01
,,NEG,19128,71705,2021-12-10 16:00:01
,,POS,19140,6920,2021-12-10 16:00:01
,,NEG,19182,27,2021-12-10 16:00:01
,,NEG,19132,59877,2021-12-10 16:00:01
,,NEG,19154,69575,2021-12-10 16:00:01
,,POS,19121,4380,2021-12-10 16:00:01
,,POS,19102,581,2021-12-10 16:00:01
,,NEG,19134,89444,2021-12-10 16:00:01
,,NEG,19172,16,2021-12-10 16:00:01
,,NEG,19119,59627,2021-12-10 16:00:01
,,NEG,19135,47994,2021-12-10 16:00:01
,,POS,19135,4732,2021-12-10 16:00:01
,,POS,19107,1517,2021-12-10 16:00:01
,,NEG,19116,59928,2021-12-10 16:00:01
,,NEG,19126,31405,2021-12-10 16:00:01
,,NEG,19160,168,2021-12-10 16:00:01
,,NEG,19113,133,2021-12-10 16:00:01
,,POS,19154,5178,2021-12-10 16:00:01
,,POS,19132,3898,2021-12-10 16:00:01
,,NEG,19100,59,2021-12-10 16:00:01
,,NEG,19104,413312,2021-12-10 16:00:01
,,NEG,19101,856,2021-12-10 16:00:01
,,POS,19128,3790,2021-12-10 16:00:01
,,POS,19114,4423,2021-12-10 16:00:01
,,NEG,19118,17917,2021-12-10 16:00:01
,,POS,19149,7004,2021-12-10 16:00:01
,,POS,19103,2073,2021-12-10 16:00:01
,,NEG,19194,49,2021-12-10 16:00:01
,,NEG,19179,10,2021-12-10 16:00:01
,,NEG,19191,35,2021-12-10 16:00:01
,,POS,19151,3787,2021-12-10 16:00:01
,,NEG,19105,435,2021-12-10 16:00:01
,,NEG,19183,21,2021-12-10 16:00:01
,,POS,19111,9120,2021-12-10 16:00:01
,,NEG,19156,12,2021-12-10 16:00:01
,,NEG,19164,9,2021-12-10 16:00:01
,,NEG,19122,49272,2021-12-10 16:00:01
,,NEG,19153,19943,2021-12-10 16:00:01
,,NEG,19170,22,2021-12-10 16:00:01
,,NEG,19137,12341,2021-12-10 16:00:01
,,NEG,19171,25,2021-12-10 16:00:01
,,POS,19106,1199,2021-12-10 16:00:01
,,POS,19125,2733,2021-12-10 16:00:01
,,NEG,19178,13,2021-12-10 16:00:01
,,NEG,19111,105418,2021-12-10 16:00:01
,,NEG,19177,6,2021-12-10 16:00:01
,,POS,19141,3814,2021-12-10 16:00:01
,,POS,19144,5108,2021-12-10 16:00:01
,,NEG,19106,29750,2021-12-10 16:00:01
,,NEG,19109,64,2021-12-10 16:00:01
,,POS,19138,3947,2021-12-10 16:00:01
,,NEG,19146,108355,2021-12-10 16:00:01
,,NEG,19127,13174,2021-12-10 16:00:01
,,NEG,19114,48007,2021-12-10 16:00:01
,,NEG,19193,26,2021-12-10 16:00:01
,,NEG,19197,19,2021-12-10 16:00:01
,,NEG,19192,22,2021-12-10 16:00:01
,,NEG,19162,13,2021-12-10 16:00:01
,,NEG,19184,27,2021-12-10 16:00:01
,,POS,19130,2685,2021-12-10 16:00:01
,,POS,19176,7,2021-12-10 16:00:01
,,NEG,19103,92348,2021-12-10 16:00:01
,,NEG,19108,150,2021-12-10 16:00:01
,,NEG,19120,100955,2021-12-10 16:00:01
,,POS,19116,5518,2021-12-10 16:00:01
,,POS,19134,7391,2021-12-10 16:00:01
,,NEG,19143,140483,2021-12-10 16:00:01
,,POS,19101,103,2021-12-10 16:00:01
,,POS,19104,5740,2021-12-10 16:00:01
,,NEG,19196,16,2021-12-10 16:00:01
,,NEG,19115,62596,2021-12-10 16:00:01
,,NEG,19110,113,2021-12-10 16:00:01
,,POS,19160,10,2021-12-10 16:00:01
,,POS,19143,7276,2021-12-10 16:00:01
,,POS,19126,2331,2021-12-10 16:00:01
,,POS,19129,1169,2021-12-10 16:00:01
